NAME,STATE,CITY,COUNTY,WEBSITE,TOT_ENROLL,NAICS_DESC,TELEPHONE
ST. JOHN'S COLLEGE,NM,SANTA FE,SANTA FE,www.sjc.edu/,355,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(505) 984-6000
GRACE COLLEGE OF DIVINITY,NC,FAYETTEVILLE,CUMBERLAND,www.gcd.edu/,247,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(910) 221-2224
BALDWIN PARK ADULT & COMMUNITY EDUCATION,CA,BALDWIN PARK,LOS ANGELES,www.bpusd.net/,347,COSMETOLOGY AND BARBER SCHOOLS,(626) 939-4456
SEATTLE INSTITUTE OF EAST ASIAN MEDICINE,WA,SEATTLE,KING,www.sieam.edu/,31,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(206) 517-4541
CALDWELL COMMUNITY COLLEGE AND TECHNICAL INSTITUTE,NC,HUDSON,CALDWELL,https://www.cccti.edu/,3845,JUNIOR COLLEGES,(828) 726-2200
WILKES COMMUNITY COLLEGE,NC,WILKESBORO,WILKES,www.wilkescc.edu/,2435,JUNIOR COLLEGES,(336) 838-6100
DRAKE UNIVERSITY,IA,DES MOINES,POLK,www.drake.edu/,4774,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(515) 271-2011
LOS MEDANOS COLLEGE,CA,PITTSBURG,CONTRA COSTA,https://www.losmedanos.edu/,8521,JUNIOR COLLEGES,(925) 439-2181
OKLAHOMA WESLEYAN UNIVERSITY,OK,BARTLESVILLE,WASHINGTON,www.okwu.edu/,934,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(918) 333-6151
RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-ALLIANCE,OH,ALLIANCE,STARK,raphaelsbeautyschool.edu/,421,COSMETOLOGY AND BARBER SCHOOLS,(330) 823-3884
EMPIRE BEAUTY SCHOOL-CENTER CITY PHILADELPHIA,PA,PHILADELPHIA,PHILADELPHIA,www.empire.edu/,186,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
TEXAS COLLEGE OF COSMETOLOGY-ABILENE,TX,ABILENE,TAYLOR,www.texascollegecosmetology.com/,72,COSMETOLOGY AND BARBER SCHOOLS,(325) 677-0532
PAUL MITCHELL THE SCHOOL-PROVO,UT,PROVO,UTAH,paulmitchell.edu/provo,-999,COSMETOLOGY AND BARBER SCHOOLS,(801) 374-5111
MILAN INSTITUTE OF COSMETOLOGY,TX,AMARILLO,POTTER,www.milaninstitute.edu/,-999,COSMETOLOGY AND BARBER SCHOOLS,(806) 349-4100
MORNINGSIDE COLLEGE,IA,SIOUX CITY,WOODBURY,https://www.morningside.edu/,2411,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(712) 274-5000
ILLINOIS WESLEYAN UNIVERSITY,IL,BLOOMINGTON,MCLEAN,www.iwu.edu/,1636,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(309) 556-1000
QUINCY UNIVERSITY,IL,QUINCY,ADAMS,www.quincy.edu/,1273,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(217) 222-8020
EASTWICK COLLEGE-HACKENSACK,NJ,HACKENSACK,BERGEN,www.eastwickcollege.edu/,533,BUSINESS AND SECRETARIAL SCHOOLS,(201) 488-9400 EXT 5022
AMERICAN UNIVERSITY OF PUERTO RICO,PR,MANATI,MANATÍ,aupr.edu/,360,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(787) 621-2835 EXT 3601
FIELDING GRADUATE UNIVERSITY,CA,SANTA BARBARA,SANTA BARBARA,www.fielding.edu/,1071,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(805) 687-1099
TALLADEGA COLLEGE,AL,TALLADEGA,TALLADEGA,www.talladega.edu/,1156,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(256) 761-6100
GATEWAY COMMUNITY COLLEGE-CENTRAL CITY,AZ,PHOENIX,MARICOPA,www.gatewaycc.edu/about-gateway/central-city-campus,524,COSMETOLOGY AND BARBER SCHOOLS,(602) 238-4300
CHRISTOPHER NEWPORT UNIVERSITY,VA,NEWPORT NEWS,NEWPORT NEWS CITY,cnu.edu/,4868,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(757) 594-7000
WAUKESHA COUNTY TECHNICAL COLLEGE,WI,PEWAUKEE,WAUKESHA,https://www.wctc.edu/,6952,JUNIOR COLLEGES,(262) 691-5566
PLATT COLLEGE-STVT-MCALLEN,TX,MCALLEN,HIDALGO,https://www.stvt.edu/,300,OTHER TECHNICAL AND TRADE SCHOOLS,(956) 631-1107
ICPR JUNIOR COLLEGE-MAYAGUEZ,PR,MAYAGUEZ,MAYAGÜEZ,www.icprjc.edu/,324,JUNIOR COLLEGES,(787) 832-6000 EXT 229
LONG ISLAND BEAUTY SCHOOL-HAUPPAUGE,NY,HAUPPAUGE,SUFFOLK,www.libs.edu/,190,COSMETOLOGY AND BARBER SCHOOLS,(631) 724-0440
BLUE CLIFF COLLEGE-ALEXANDRIA,LA,ALEXANDRIA,RAPIDES,bluecliffcollege.edu/,521,JUNIOR COLLEGES,(318) 445-2778
THREE RIVERS COMMUNITY COLLEGE,CT,NORWICH,NEW LONDON,https://www.threerivers.edu/,3160,JUNIOR COLLEGES,(860) 215-9000
KENTUCKY CHRISTIAN UNIVERSITY,KY,GRAYSON,CARTER,www.kcu.edu/,689,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(606) 474-3000
MONTCALM COMMUNITY COLLEGE,MI,SIDNEY,MONTCALM,www.montcalm.edu/,1414,JUNIOR COLLEGES,(989) 328-2111
CARNEGIE INSTITUTE,MI,TROY,OAKLAND,https://www.carnegie-institute.edu/,122,OTHER TECHNICAL AND TRADE SCHOOLS,(248) 589-1078
MARTIN LUTHER COLLEGE,MN,NEW ULM,BROWN,www.mlc-wels.edu/,968,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(507) 354-8221 EXT 211
SOUTHEASTERN BAPTIST COLLEGE,MS,LAUREL,JONES,https://www.southeasternbaptist.edu/,62,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(601) 426-6346
SAN JOAQUIN VALLEY COLLEGE-RANCHO CORDOVA,CA,RANCHO CORDOVA,SACRAMENTO,www.sjvc.edu/,197,JUNIOR COLLEGES,(559) 734-9000
EMMAUS BIBLE COLLEGE,IA,DUBUQUE,DUBUQUE,https://www.emmaus.edu/,194,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(563) 588-8000
ORANGE COUNTY COMMUNITY COLLEGE,NY,MIDDLETOWN,ORANGE,https://sunyorange.edu/,5862,JUNIOR COLLEGES,(845) 344-6222
YESHIVA SHAAREI TORAH OF ROCKLAND,NY,SUFFERN,ROCKLAND,www.yst.edu/,90,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(845) 352-3431 EXT 0
LAKE-SUMTER STATE COLLEGE,FL,LEESBURG,LAKE,www.lssc.edu/,4760,JUNIOR COLLEGES,(352) 787-3747
STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA,FL,BRADENTON,MANATEE,www.scf.edu/,9242,JUNIOR COLLEGES,(941) 752-5000
THE ESTHETIC INSTITUTE,VA,VIENNA,FAIRFAX,estheticinstitute.com/,126,COSMETOLOGY AND BARBER SCHOOLS,(703) 288-4228 EXT 107
PURDUE UNIVERSITY NORTHWEST,IN,HAMMOND,LAKE,www.pnw.edu/,9363,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(219) 989-2400
APEX ACADEMY HAIR SKIN NAILS SCHOOL OF COSMETOLOGY,OH,ONTARIO,RICHLAND,https://www.apexacademy2013.com/,35,COSMETOLOGY AND BARBER SCHOOLS,(419) 709-8512
CARIS COLLEGE,IN,JEFFERSONVILLE,CLARK,www.cariscollege.edu/,107,JUNIOR COLLEGES,(812) 258-9510
GLOBAL TECH COLLEGE,OH,TOLEDO,LUCAS,www.globaltech.edu/,2,JUNIOR COLLEGES,(567) 200-6829
COLLEGE UNBOUND,RI,PROVIDENCE,PROVIDENCE,collegeunbound.org/,158,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(401) 752-2640
GUIDANCE COLLEGE,TX,HOUSTON,HARRIS,www.guidancecollege.org/,-999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(713) 231-7391
NUC UNIVERSITY - FLORIDA TECHNICAL COLLEGE - LAKELAND,FL,LAKELAND,POLK,NOT AVAILABLE,-999,OTHER TECHNICAL AND TRADE SCHOOLS,NOT AVAILABLE
TRICOCI UNIVERSITY OF BEAUTY CULTURE-NORMAL,IL,NORMAL,MCLEAN,https://www.tricociuniversity.edu/,56,COSMETOLOGY AND BARBER SCHOOLS,(630) 528-3330
UNIVERSITY OF MICHIGAN-DEARBORN,MI,DEARBORN,WAYNE,https://umdearborn.edu/,8783,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(313) 593-5000
THE TRAINING DOMAIN,FL,FORT MYERS,LEE,www.thetrainingdomain.com,-999,OTHER TECHNICAL AND TRADE SCHOOLS,(239) 267-3833
FLORIDA SOUTHWESTERN STATE COLLEGE,FL,FORT MYERS,LEE,www.fsw.edu/,15141,JUNIOR COLLEGES,(239) 489-9300
THEATRE OF ARTS,CA,HOLLYWOOD,LOS ANGELES,www.toa.edu/,22,JUNIOR COLLEGES,(323) 463-2500 EXT 4
INTERNATIONAL COLLEGE OF BROADCASTING,OH,DAYTON,MONTGOMERY,www.icb.edu/,60,JUNIOR COLLEGES,(937) 258-8251
UNIVERSITY OF ILLINOIS CHICAGO,IL,CHICAGO,COOK,www.uic.edu/,33518,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(312) 996-7000
CENTER FOR NEUROSOMATIC STUDIES,FL,CLEARWATER,PINELLAS,https://cns.edu/,10,OTHER TECHNICAL AND TRADE SCHOOLS,(727) 386-5024
HOUSE OF HEAVILIN BEAUTY COLLEGE-ACADEMY OF BEAUTY PROFESSIONALS,WI,MADISON,DANE,abpwi.com/,44,COSMETOLOGY AND BARBER SCHOOLS,(608) 709-5204
HANNAH E MULLINS SCHOOL OF PRACTICAL NURSING,OH,SALEM,COLUMBIANA,hemspn.edu/,77,OTHER TECHNICAL AND TRADE SCHOOLS,(330) 332-8940
MAYLAND COMMUNITY COLLEGE,NC,SPRUCE PINE,AVERY,www.mayland.edu/,441,JUNIOR COLLEGES,(828) 765-7351
CUNY HUNTER COLLEGE,NY,NEW YORK,NEW YORK,www.hunter.cuny.edu/,24052,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(212) 772-4000
TRINE UNIVERSITY,IN,ANGOLA,STEUBEN,www.trine.edu/,3573,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(260) 665-4100
BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS,OH,BOWLING GREEN,WOOD,www.bgsu.edu/,18142,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(418) 372-5526
UNIVERSITY OF MARY WASHINGTON,VA,FREDERICKSBURG,FREDERICKSBURG CITY,www.umw.edu/,4293,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(540) 654-1000
NORTHERN ILLINOIS UNIVERSITY,IL,DEKALB,DEKALB,www.niu.edu/,16769,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(800) 892-3050
TINT SCHOOL OF MAKEUP & COSMETOLOGY,TX,IRVING,DALLAS,https://tintdallasmakeupcosmetologyschool.com/,104,COSMETOLOGY AND BARBER SCHOOLS,(972) 513-1176
GREAT LAKES INSTITUTE OF TECHNOLOGY,PA,ERIE,ERIE,www.glit.edu/,429,OTHER TECHNICAL AND TRADE SCHOOLS,(814) 864-6666
OLD TOWN BARBER COLLEGE-WICHITA,KS,WICHITA,SEDGWICK,www.otbcollege.com/,91,COSMETOLOGY AND BARBER SCHOOLS,(316) 264-4891 EXT 202
UNIVERSITY OF MISSOURI-SYSTEM OFFICE,MO,COLUMBIA,BOONE,https://www.umsystem.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(573) 882-2011
INTERNATIONAL COLLEGE OF COSMETOLOGY,CA,OAKLAND,ALAMEDA,www.icoc.edu/,195,COSMETOLOGY AND BARBER SCHOOLS,(510) 261-8256
WINTHROP UNIVERSITY,SC,ROCK HILL,YORK,www.winthrop.edu/,5576,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(803) 323-2211
COASTAL BEND COLLEGE,TX,BEEVILLE,BEE,www.coastalbend.edu/,4105,JUNIOR COLLEGES,(361) 354-2200
UNIVERSITY OF CALIFORNIA-BERKELEY,CA,BERKELEY,ALAMEDA,www.berkeley.edu/,42327,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(510) 642-6000
UNIVERSITY OF ALASKA ANCHORAGE,AK,ANCHORAGE,ANCHORAGE,www.uaa.alaska.edu/,11953,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(907) 786-1800
PAUL MITCHELL THE SCHOOL-CHARLESTON,SC,NORTH CHARLESTON,CHARLESTON,paulmitchell.edu/charleston,209,COSMETOLOGY AND BARBER SCHOOLS,(843) 725-0246
NEW RIVER COMMUNITY COLLEGE,VA,DUBLIN,PULASKI,www.nr.edu/,4137,JUNIOR COLLEGES,(540) 674-3600
BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,PA,BLOOMSBURG,COLUMBIA,www.bloomu.edu/,8427,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(570) 389-4000
KD CONSERVATORY COLLEGE OF FILM AND DRAMATIC ARTS,TX,DALLAS,DALLAS,www.kdstudio.com/,71,JUNIOR COLLEGES,(214) 638-0484
COLLEGE OF THE MAINLAND,TX,TEXAS CITY,GALVESTON,www.com.edu/,4335,JUNIOR COLLEGES,(409) 938-1211
DELGADO COMMUNITY COLLEGE,LA,NEW ORLEANS,ORLEANS,www.dcc.edu/,13251,JUNIOR COLLEGES,(504) 671-5000
